Id,Name,PurchaseDate,Number,HoneyType,Email,Amount
3,ggg,04.09.2014 14:38:59,55555,Липовий,ffff.ccc@ggg.bbb,6
11,ggg,04.09.2014 19:58:27,55555,Головний,vvv.ccc@ff.ccc,24
15,ggg,17.09.2014 15:04:37,55555,Гречаний,ffff.ccc@ggg.bbb,1
16,ggg,17.09.2014 15:14:32,55555,Липовий,ffff.ccc@ggg.bbb,9
17,ggg,18.09.2014 16:54:32,55555,Березовий,"",1
18,ggg,08.10.2014 12:22:45,55555,Вишневий,"","3,4"
19,ggg,08.10.2014 12:23:13,55555,Березовий,"","9,9"
20,ggg,08.10.2014 12:32:03,55555,Березовий,"","0,01"
21,victor,08.10.2014 12:32:40,678000108,Березовий,"","0,01"
22,ggg,08.10.2014 12:42:00,55555,Березовий,"","0,01"
23,ggg,08.10.2014 13:01:14,55555,Березовий,"","0,01"
24,vvee,16.02.2015 11:38:50,5555555,Вишневий,"",1
25,vvee,17.02.2015 11:20:16,5555555,Дубовий,"","11,4"
26,Імя,19.02.2015 13:12:19,44444444,Вишневий,"",1
27,vvee,08.03.2015 10:55:35,5555555,Грибовий,"",1
28,vvee,19.03.2015 11:35:54,5555555,Вишневий,"","0,001"
29,vvee,19.03.2015 11:58:40,5555555,Вишневий,"","1,5"
30,vvee,19.03.2015 12:01:23,5555555,Вишневий,"",5
31,vvee,31.03.2015 16:37:37,5555555,Вишневий,"","0,4"
